Algae_1,t.p.i_1,Algae_2,t.p.i_2,estimate,SE,df,t.ratio,p.value,label
SSB01,1,M. gaditana,1,-1.321250058927882,0.29049619851392405,4512.850966625657,-4.548252492414464,9.567707326385566e-4,***
SSB01,1,N. oculata,1,1.0145095413145504,0.21736199856081034,4512.850966625657,4.66737308283778,5.502180100415144e-4,***
SSB01,1,C. velia,1,0.8091255679189614,0.21538726526401378,4512.850966625657,3.7566082048869744,0.024359416035896087,*
SSB01,1,SSB01,2,-0.19725341473030192,0.22698526668822344,4512.850966625657,-0.8690141770357288,0.9999983513533884,
SSB01,1,M. gaditana,2,0.30577778522146737,0.22474588130026482,4512.850966625657,1.3605490051803992,0.9985811996008087,
SSB01,1,N. oculata,2,3.321687124373058,0.38282430509488946,4512.850966625657,8.676792670072821,4.341353398995551e-8,***
SSB01,1,C. velia,2,0.7808947769960574,0.21856209724629078,4512.850966625657,3.5728737362731815,0.0457762111820601,*
SSB01,1,SSB01,3,-0.5467808663665418,0.24916978932229278,4512.850966625657,-2.1944107584378902,0.8041456005443003,
SSB01,1,M. gaditana,3,1.0832347461706422,0.2294183831185799,4512.850966625657,4.721656265926819,4.2532930488103915e-4,***
SSB01,1,N. oculata,3,4.2847150057039896,0.518530943964357,4512.850966625657,8.2631809259941,4.341362402904281e-8,***
SSB01,1,C. velia,3,1.095564160591914,0.22042620128770518,4512.850966625657,4.970208415296144,1.25524289342982e-4,***
SSB01,1,SSB01,6,-0.3059097035418042,0.22515957172223217,4512.850966625657,-1.3586351279757687,0.9986074699414202,
SSB01,1,M. gaditana,6,2.156997142488982,0.2900191106785429,4512.850966625657,7.437431062533658,4.343669912643122e-8,***
SSB01,1,N. oculata,6,4.468106144120824,0.5247560187581446,4512.850966625657,8.514635343668417,4.3413558081795145e-8,***
SSB01,1,C. velia,6,0.9835836901343866,0.21527207546520002,4512.850966625657,4.569025908301741,8.697905720869148e-4,***
SSB01,1,SSB01,10,-0.38000677212740147,0.22683205838241297,4512.850966625657,-1.675278066236799,0.9823403918063559,
SSB01,1,M. gaditana,10,3.679790420254161,0.4174502722865019,4512.850966625657,8.814919200073415,4.341351900194468e-8,***
SSB01,1,N. oculata,10,5.444802418520587,0.7002665169993516,4512.850966625657,7.775328801741964,4.341529136198119e-8,***
SSB01,1,C. velia,10,2.582415505706035,0.2729237509215719,4512.850966625657,9.46204021081377,4.3413545869341874e-8,***
M. gaditana,1,N. oculata,1,2.335759600242432,0.27202006076784896,4512.850966625657,8.58671817677391,4.341354609138648e-8,***
M. gaditana,1,C. velia,1,2.1303756268468432,0.2704339734803298,4512.850966625657,7.877618331122134,4.341438575306e-8,***
M. gaditana,1,SSB01,2,1.12399664419758,0.28097065389364523,4512.850966625657,4.000405838194911,0.009796814691078959,**
M. gaditana,1,M. gaditana,2,1.6270278441493493,0.27736133884962744,4512.850966625657,5.86609457142637,9.432899628070146e-7,***
M. gaditana,1,N. oculata,2,4.64293718330094,0.4172067309553645,4512.850966625657,11.128624825081433,4.341344972402794e-8,***
M. gaditana,1,C. velia,2,2.1021448359239394,0.27354878672302607,4512.850966625657,7.684716357570269,4.341703807586583e-8,***
M. gaditana,1,SSB01,3,0.7744691925613402,0.29952441000699587,4512.850966625657,2.5856630267404626,0.5163937848612276,
M. gaditana,1,M. gaditana,3,2.4044848050985244,0.28107068764094606,4512.850966625657,8.554733420548411,4.341355119841239e-8,***
M. gaditana,1,N. oculata,3,5.605965064631872,0.5448882553106805,4512.850966625657,10.288283900403583,4.3413554973170676e-8,***
M. gaditana,1,C. velia,3,2.4168142195197957,0.2750537160292231,4512.850966625657,8.786699028865405,4.341352310976987e-8,***
M. gaditana,1,SSB01,6,1.0153403553860778,0.2794637934254999,4512.850966625657,3.633173166873045,0.03742024065677452,*
M. gaditana,1,M. gaditana,6,3.4782472014168637,0.33113448904272474,4512.850966625657,10.504031795274825,4.341355652748291e-8,***
M. gaditana,1,N. oculata,6,5.7893562030487065,0.5507656545165266,4512.850966625657,10.511469180355341,4.3413558081795145e-8,***
M. gaditana,1,C. velia,6,2.3048337490622686,0.27091310019583337,4512.850966625657,8.507649675841392,4.341355863690666e-8,***
M. gaditana,1,SSB01,10,0.9412432868004804,0.2808153248708815,4512.850966625657,3.3518230788624614,0.09134083764695533,
M. gaditana,1,M. gaditana,10,5.001040479182043,0.44444601027030806,4512.850966625657,11.25230143508422,4.3413405204084654e-8,***
M. gaditana,1,N. oculata,10,6.766052477448469,0.7202940818665412,4512.850966625657,9.393458377327205,4.341355464010377e-8,***
M. gaditana,1,C. velia,10,3.9036655646339167,0.3187662471883303,4512.850966625657,12.246169721750972,4.3413366013211885e-8,***
N. oculata,1,C. velia,1,-0.205383973395589,0.18909015980125496,4512.850966625657,-1.0861695479630449,0.9999431199710767,
N. oculata,1,SSB01,2,-1.2117629560448524,0.20272453263177703,4512.850966625657,-5.977386852561469,5.039863255618116e-7,***
N. oculata,1,M. gaditana,2,-0.708731756093083,0.19934293298941133,4512.850966625657,-3.555339261165227,0.048489404212386455,*
N. oculata,1,N. oculata,2,2.3071775830585075,0.36640852690696635,4512.850966625657,6.2967355114099615,1.0642477177302823e-7,***
N. oculata,1,C. velia,2,-0.23361476431849307,0.19235216121583415,4512.850966625657,-1.2145159318296355,0.9997041964758004,
N. oculata,1,SSB01,3,-1.561290407681092,0.2275878084289413,4512.850966625657,-6.860167152444665,4.48956190002292e-8,***
N. oculata,1,M. gaditana,3,0.06872520485609192,0.20456506294929572,4512.850966625657,0.33595768439269813,1,
N. oculata,1,N. oculata,3,3.270205464389439,0.5050299952815676,4512.850966625657,6.475269775939176,6.326246948518133e-8,***
N. oculata,1,C. velia,3,0.08105461927736361,0.1944428050652852,4512.850966625657,0.416855842262454,0.999999999996356,
N. oculata,1,SSB01,6,-1.3204192448563545,0.20061819602438324,4512.850966625657,-6.581752159190336,5.323483898145298e-8,***
N. oculata,1,M. gaditana,6,1.1424876011744316,0.27069251255349874,4512.850966625657,4.2206102798969525,0.0040213466887939475,**
N. oculata,1,N. oculata,6,3.453596602806274,0.5113278627743797,4512.850966625657,6.754172526542236,4.6485033156073996e-8,***
N. oculata,1,C. velia,6,-0.030925851180163763,0.18858410527657235,4512.850966625657,-0.16398970175566357,1,
N. oculata,1,SSB01,10,-1.3945163134419518,0.20246634633611332,4512.850966625657,-6.887644977437003,4.463834035739467e-8,***
N. oculata,1,M. gaditana,10,2.6652808789396105,0.4039453086424228,4512.850966625657,6.598123116956283,5.221936172361552e-8,***
N. oculata,1,N. oculata,10,4.430292877206037,0.6884194994222496,4512.850966625657,6.4354552433859356,6.916331130035758e-8,***
N. oculata,1,C. velia,10,1.5679059643914843,0.25223863795516266,4512.850966625657,6.215962697476156,1.486073372136687e-7,***
