"Repeat(Date)","Algae","Well_ID","Larvae","Number of Symbionts","Time_post_infection"
"I","SSB01","SI1",1,0,"1"
"I","SSB01","SI1",2,1,"1"
"I","SSB01","SI1",3,3,"1"
"I","SSB01","SI1",4,2,"1"
"I","SSB01","SI1",5,4,"1"
"I","SSB01","SI1",6,4,"1"
"I","SSB01","SI1",7,5,"1"
"I","SSB01","SI1",8,9,"1"
"I","SSB01","SI1",9,3,"1"
"I","SSB01","SI1",10,8,"1"
"I","SSB01","SI1",11,7,"1"
"I","SSB01","SI1",12,0,"1"
"I","SSB01","SI1",13,1,"1"
"I","SSB01","SI1",14,4,"1"
"I","SSB01","SI1",15,0,"1"
"I","SSB01","SI1",16,0,"1"
"I","SSB01","SI1",17,15,"1"
"I","SSB01","SI1",18,2,"1"
"I","SSB01","SI1",19,4,"1"
"I","SSB01","SI1",20,1,"1"
"I","SSB01","SI1",21,10,"1"
"I","SSB01","SI1",22,1,"1"
"I","SSB01","SI1",23,1,"1"
"I","SSB01","SI1",24,4,"1"
"I","SSB01","SI1",25,3,"1"
"I","SSB01","SI1",26,15,"1"
"I","SSB01","SI1",27,7,"1"
"I","SSB01","SI1",28,1,"1"
"I","SSB01","SI1",29,6,"1"
"I","SSB01","SI1",30,1,"1"
"I","SSB01","SI1",31,6,"1"
"I","SSB01","SI1",32,7,"1"
"I","SSB01","SI1",33,6,"1"
"I","SSB01","SI1",34,0,"1"
"I","SSB01","SI1",35,7,"1"
"I","SSB01","SI1",36,12,"1"
"I","SSB01","SI1",37,2,"1"
"I","SSB01","SI1",38,12,"1"
"I","SSB01","SI1",39,2,"1"
"I","SSB01","SI1",40,9,"1"
"I","SSB01","SI1",41,5,"1"
"I","SSB01","SI1",42,5,"1"
"I","SSB01","SI1",43,0,"1"
"I","SSB01","SI1",44,1,"1"
"I","SSB01","SI1",45,0,"1"
"I","SSB01","SI1",46,0,"1"
"I","SSB01","SI1",47,0,"1"
"I","SSB01","SI1",48,10,"1"
"I","SSB01","SI1",49,8,"1"
"I","SSB01","SI1",50,0,"1"
"II","SSB01","SII1",1,0,"1"
"II","SSB01","SII1",2,0,"1"
"II","SSB01","SII1",3,2,"1"
"II","SSB01","SII1",4,3,"1"
