Algae_1,t.p.i_1,Algae_2,t.p.i_2,estimate,SE,df,t.ratio,p.value,label
SSB01,1,M. gaditana,1,-0.2230427414208616,0.14783622188340162,4517.078085908642,-1.5087151077005698,0.9947136376467955,
SSB01,1,N. oculata,1,1.2768238878973115,0.16176243233057325,4517.078085908642,7.893204061670075,4.3366978674796997e-8,***
SSB01,1,C. velia,1,0.35980904504015154,0.14916150163209144,4517.078085908642,2.412211201303301,0.6521988727176239,
SSB01,1,SSB01,2,-0.2527391120261516,0.1484267148308387,4517.078085908642,-1.7027872126267656,0.9789622096770204,
SSB01,1,M. gaditana,2,0.5020817286153412,0.15928406029061126,4517.078085908642,3.152115332188927,0.15916308919751,
SSB01,1,N. oculata,2,3.246220581194443,0.27481499777036406,4517.078085908642,11.812385086446378,4.3366053414928274e-8,***
SSB01,1,C. velia,2,0.60950008857522,0.15269234808569881,4517.078085908642,3.991687181555012,0.010135129721977831,*
SSB01,1,SSB01,3,-0.3798580466604749,0.15074491096385662,4517.078085908642,-2.5198731037199105,0.5682527019492565,
SSB01,1,M. gaditana,3,1.433388341699785,0.17468764065042358,4517.078085908642,8.205436494320809,4.3366341961892374e-8,***
SSB01,1,N. oculata,3,3.9514117032193257,0.31482791490588424,4517.078085908642,12.551020783530502,4.3366053414928274e-8,***
SSB01,1,C. velia,3,0.9193708825739202,0.15578408179879866,4517.078085908642,5.901571405487528,7.711516518682515e-7,***
SSB01,1,SSB01,6,-0.46057472804416116,0.14475688351070412,4517.078085908642,-3.181712101518846,0.1472232424445844,
SSB01,1,M. gaditana,6,2.019642824734203,0.19867514507330125,4517.078085908642,10.165553542135605,4.336623893319569e-8,***
SSB01,1,N. oculata,6,3.902741751426619,0.30773384492172057,4517.078085908642,12.682198646103988,4.3366053414928274e-8,***
SSB01,1,C. velia,6,1.0711946172032407,0.15755820693832226,4517.078085908642,6.798723075228767,4.5630092371240494e-8,***
SSB01,1,SSB01,10,-0.6459104319139637,0.14404643705044018,4517.078085908642,-4.484043098461282,0.0012804684407976552,**
SSB01,1,M. gaditana,10,3.1269301509143053,0.2518152191922386,4517.078085908642,12.417558243479998,4.3366053414928274e-8,***
SSB01,1,N. oculata,10,4.797800210977556,0.38247125770929963,4517.078085908642,12.54421113814561,4.3366053414928274e-8,***
SSB01,1,C. velia,10,2.117916893086651,0.18528452114181423,4517.078085908642,11.430619676349686,4.33660589660434e-8,***
M. gaditana,1,N. oculata,1,1.499866629318173,0.1510766430905011,4517.078085908642,9.927852503445497,4.33662394883072e-8,***
M. gaditana,1,C. velia,1,0.5828517864610131,0.13742711394789262,4517.078085908642,4.241170244483264,0.003688891052754273,**
M. gaditana,1,SSB01,2,-0.029696370605290005,0.13724266818306116,4517.078085908642,-0.21637855776513681,1,
M. gaditana,1,M. gaditana,2,0.7251244700362028,0.1471103337798526,4517.078085908642,4.929119874891561,1.5429053195148423e-4,***
M. gaditana,1,N. oculata,2,3.4692633226153045,0.26824896999516745,4517.078085908642,12.932997739666265,4.3366053414928274e-8,***
M. gaditana,1,C. velia,2,0.8325428299960816,0.14092045390435695,4517.078085908642,5.907892054911564,7.440609088860128e-7,***
M. gaditana,1,SSB01,3,-0.1568153052396133,0.13980286914301618,4517.078085908642,-1.1216887478839483,0.9999076390350021,
M. gaditana,1,M. gaditana,3,1.6564310831206466,0.16330659296346509,4517.078085908642,10.143075383926618,4.3366245927600744e-8,***
M. gaditana,1,N. oculata,3,4.174454444640187,0.30902542497849395,4517.078085908642,13.508449814220628,4.3366053414928274e-8,***
M. gaditana,1,C. velia,3,1.1424136239947817,0.14425184773970104,4517.078085908642,7.919577058425203,4.3366874979966497e-8,***
M. gaditana,1,SSB01,6,-0.23753198662329955,0.13314148105475457,4517.078085908642,-1.7840569651288036,0.9659609751698067,
M. gaditana,1,M. gaditana,6,2.2426855661550644,0.18820976007355522,4517.078085908642,11.915883455133192,4.3366053414928274e-8,***
M. gaditana,1,N. oculata,6,4.1257844928474805,0.3017668176603542,4517.078085908642,13.67209464856123,4.3366053414928274e-8,***
M. gaditana,1,C. velia,6,1.2942373586241023,0.14614841545025528,4517.078085908642,8.855637296078816,4.336620507139344e-8,***
M. gaditana,1,SSB01,10,-0.42286769049310213,0.1323158879498995,4517.078085908642,-3.1958950436338984,0.14174630565979374,
M. gaditana,1,M. gaditana,10,3.349972892335167,0.24254880622319427,4517.078085908642,13.811541456330689,4.3366053414928274e-8,***
M. gaditana,1,N. oculata,10,5.020842952398418,0.37742337989682545,4517.078085908642,13.302946292757337,4.3366053414928274e-8,***
M. gaditana,1,C. velia,10,2.3409596345075125,0.1755724851007604,4517.078085908642,13.333294412071712,4.3366053414928274e-8,***
N. oculata,1,C. velia,1,-0.91701484285716,0.1523771382208473,4517.078085908642,-6.018060540867276,4.0281822921706123e-7,***
N. oculata,1,SSB01,2,-1.529562999923463,0.15250785436851283,4517.078085908642,-10.029404755951118,4.3366239599329504e-8,***
N. oculata,1,M. gaditana,2,-0.7747421592819703,0.16230281370735417,4517.078085908642,-4.773436403135293,3.3168577115971765e-4,***
N. oculata,1,N. oculata,2,1.9693966932971312,0.27246311461593,4517.078085908642,7.228122221509639,4.3474836619594726e-8,***
N. oculata,1,C. velia,2,-0.6673237993220915,0.15583505601527411,4517.078085908642,-4.282244421670334,0.003100000602647146,**
N. oculata,1,SSB01,3,-1.6566819345577863,0.15479397681399518,4517.078085908642,-10.702496109060512,4.3366241930797855e-8,***
N. oculata,1,M. gaditana,3,0.15656445380247355,0.17740679254677152,4517.078085908642,0.8825166813226551,0.9999978754757557,
N. oculata,1,N. oculata,3,2.674587815322014,0.31153023610580927,4517.078085908642,8.585323366216072,4.336623415923668e-8,***
N. oculata,1,C. velia,3,-0.3574530053233913,0.15883137495568184,4517.078085908642,-2.2505188626814454,0.7684522175492311,
N. oculata,1,SSB01,6,-1.7373986159414727,0.1488093484328631,4517.078085908642,-11.675332458869804,4.3366053414928274e-8,***
N. oculata,1,M. gaditana,6,0.7428189368368913,0.20107617892442192,4517.078085908642,3.6942164945162053,0.030346133134678377,*
N. oculata,1,N. oculata,6,2.6259178635293074,0.3045905537883927,4517.078085908642,8.621140185961261,4.336622905221077e-8,***
N. oculata,1,C. velia,6,-0.20562927069407083,0.16057648848523737,4517.078085908642,-1.2805689838769603,0.9993762503352444,
N. oculata,1,SSB01,10,-1.9227343198112752,0.14803296697196727,4517.078085908642,-12.988554908687197,4.3366053414928274e-8,***
N. oculata,1,M. gaditana,10,1.8501062630169938,0.2535017412016445,4517.078085908642,7.298199429507477,4.3431280571937236e-8,***
N. oculata,1,N. oculata,10,3.520976323080245,0.37780877927044826,4517.078085908642,9.319466662154538,4.336625691880869e-8,***
N. oculata,1,C. velia,10,0.8410930051893395,0.18772953422171532,4517.078085908642,4.480344601483848,0.0013019544840691122,**
C. velia,1,SSB01,2,-0.6125481570663032,0.13872365915442733,4517.078085908642,-4.415599767191939,0.001737701049576934,**
C. velia,1,M. gaditana,2,0.14227268357518968,0.14939721326257724,4517.078085908642,0.9523114954302017,0.9999927008596388,
C. velia,1,N. oculata,2,2.886411536154291,0.26902155977162906,4517.078085908642,10.729294479611783,4.336624614964535e-8,***
C. velia,1,C. velia,2,0.24969104353506846,0.14157577786427983,4517.078085908642,1.763656518803889,0.9696862627106875,
C. velia,1,SSB01,3,-0.7396670917006264,0.14126171659918266,4517.078085908642,-5.236146845074557,3.162338110407337e-5,***
C. velia,1,M. gaditana,3,1.0735792966596336,0.16569481693530022,4517.078085908642,6.4792569648019835,6.270102548278089e-8,***
C. velia,1,N. oculata,3,3.591602658179174,0.30971501979177446,4517.078085908642,11.596475561933858,4.3366053414928274e-8,***
C. velia,1,C. velia,3,0.5595618375337686,0.14482965545990006,4517.078085908642,3.8635860574058896,0.016498476446516808,*
C. velia,1,SSB01,6,-0.8203837730843127,0.13467994084769394,4517.078085908642,-6.091358281869632,2.724062858616705e-7,***
C. velia,1,M. gaditana,6,1.6598337796940512,0.1907731602100847,4517.078085908642,8.700562374005841,4.336621861611434e-8,***
C. velia,1,N. oculata,6,3.542932706386467,0.3025012191903577,4517.078085908642,11.71212703164999,4.3366053414928274e-8,***
C. velia,1,C. velia,6,0.7113855721630892,0.1466904617852992,4517.078085908642,4.84956938239308,2.2888422854416834e-4,***
C. velia,1,SSB01,10,-1.0057194769541153,0.1338779749272646,4517.078085908642,-7.5122101114878594,4.3379408509736095e-8,***
C. velia,1,M. gaditana,10,2.767121105874154,0.2455031363787385,4517.078085908642,11.271225071460215,4.336608849797585e-8,***
C. velia,1,N. oculata,10,4.4379911659374045,0.37809698598537494,4517.078085908642,11.737705748622574,4.3366053414928274e-8,***
C. velia,1,C. velia,10,1.7581078480464996,0.1755194501695017,4517.078085908642,10.01659842455448,4.3366240043418713e-8,***
SSB01,2,M. gaditana,2,0.7548208406414928,0.14724600199573606,4517.078085908642,5.126256946951611,5.6396991937046614e-5,***
SSB01,2,N. oculata,2,3.4989596932205944,0.26546919878577074,4517.078085908642,13.180284979291315,4.3366053414928274e-8,***
SSB01,2,C. velia,2,0.8622392006013716,0.14029911245057544,4517.078085908642,6.145720992391317,2.0677454437567633e-7,***
SSB01,2,SSB01,3,-0.12711893463432328,0.13946594430498463,4517.078085908642,-0.9114693573962338,0.9999964008936557,
SSB01,2,M. gaditana,3,1.6861274537259368,0.16479017856550623,4517.078085908642,10.231965693608853,4.336624626066765e-8,***
SSB01,2,N. oculata,3,4.204150815245477,0.3090411910630265,4517.078085908642,13.603852615194178,4.3366053414928274e-8,***
SSB01,2,C. velia,3,1.1721099946000717,0.14463997369786785,4517.078085908642,8.103638051320731,4.336643022462283e-8,***
SSB01,2,SSB01,6,-0.20783561601800954,0.1329326604481776,4517.078085908642,-1.5634654065998483,0.9919082719658919,
SSB01,2,M. gaditana,6,2.2723819367603544,0.1899931819015457,4517.078085908642,11.960334123662925,4.3366053414928274e-8,***
SSB01,2,N. oculata,6,4.1554808634527705,0.3018291075750059,4517.078085908642,13.767661100810546,4.3366053414928274e-8,***
SSB01,2,C. velia,6,1.3239337292293922,0.14654551772459415,4517.078085908642,9.034283339306814,4.3366237933994967e-8,***
SSB01,2,SSB01,10,-0.3931713198878121,0.13214459401192935,4517.078085908642,-2.9753114217621235,0.245427457965667,
SSB01,2,M. gaditana,10,3.3796692629404568,0.2449238152045651,4517.078085908642,13.79885929066429,4.3366053414928274e-8,***
SSB01,2,N. oculata,10,5.050539323003708,0.37752536638562634,4517.078085908642,13.378013168643067,4.3366053414928274e-8,***
SSB01,2,C. velia,10,2.3706560051128025,0.17595834680472167,4517.078085908642,13.472824950689912,4.3366053414928274e-8,***
M. gaditana,2,N. oculata,2,2.7441388525791015,0.2704984880595785,4517.078085908642,10.144747470731492,4.3366245483511534e-8,***
M. gaditana,2,C. velia,2,0.10741835995987879,0.15056584572796725,4517.078085908642,0.7134311200559749,0.9999999412843282,
M. gaditana,2,SSB01,3,-0.8819397752758161,0.15077035623162427,4517.078085908642,-5.849556884517251,1.0363175098060395e-6,***
M. gaditana,2,M. gaditana,3,0.9313066130844438,0.1724747964164914,4517.078085908642,5.399667849646441,1.3077449115606044e-5,***
M. gaditana,2,N. oculata,3,3.4493299746039843,0.31417209974669025,4517.078085908642,10.979109785321802,4.3366195967564636e-8,***
M. gaditana,2,C. velia,3,0.41728915395857896,0.1549102292849692,4517.078085908642,2.6937482171751466,0.43296865310857735,
M. gaditana,2,SSB01,6,-0.9626564566595024,0.14459932570716968,4517.078085908642,-6.657406263491109,4.9283828240653804e-8,***
M. gaditana,2,M. gaditana,6,1.5175610961188615,0.19610934044029563,4517.078085908642,7.73834174706673,4.336853731690127e-8,***
M. gaditana,2,N. oculata,6,3.4006600228112775,0.3070241957295616,4517.078085908642,11.07619552501558,4.336615699873647e-8,***
M. gaditana,2,C. velia,6,0.5691128885878994,0.15667882619181425,4517.078085908642,3.63235353761945,0.037523985298253404,*
M. gaditana,2,SSB01,10,-1.1479921605293049,0.14383462248222792,4517.078085908642,-7.981333984250904,4.3366663371458e-8,***
M. gaditana,2,M. gaditana,10,2.624848422298964,0.24851228331638373,4517.078085908642,10.562248220774023,4.336624126466404e-8,***
M. gaditana,2,N. oculata,10,4.295718482362215,0.3816474606935257,4517.078085908642,11.255723998676897,4.3366091384555716e-8,***
M. gaditana,2,C. velia,10,1.6158351644713098,0.18447411780887465,4517.078085908642,8.759142928361387,4.3366212176820795e-8,***
N. oculata,2,C. velia,2,-2.6367204926192227,0.2671458661761856,4517.078085908642,-9.869965537405236,4.3366243707154695e-8,***
N. oculata,2,SSB01,3,-3.6260786278549175,0.26959347820277874,4517.078085908642,-13.450171910788987,4.3366053414928274e-8,***
N. oculata,2,M. gaditana,3,-1.8128322394946577,0.2835004299968338,4517.078085908642,-6.394460281823572,7.697312454091332e-8,***
N. oculata,2,N. oculata,3,0.7051911220248828,0.3712655424137484,4517.078085908642,1.8994251861892388,0.9380846274135857,
N. oculata,2,C. velia,3,-2.3268496986205225,0.27198438400402253,4517.078085908642,-8.555085642659945,4.336623848910648e-8,***
N. oculata,2,SSB01,6,-3.706795309238604,0.266137291922537,4517.078085908642,-13.92813191440123,4.3366053414928274e-8,***
N. oculata,2,M. gaditana,6,-1.22657775646024,0.29924657554820827,4517.078085908642,-4.09888652598011,0.0066293560948205155,**
N. oculata,2,N. oculata,6,0.656521170232176,0.36599491191705447,4517.078085908642,1.7937986263070336,0.9640639694502022,
