Algae,Time_post_infection,mean,down,up
SSB01,1,2.4790726258461278,1.9862722103450512,3.094138382549277
M. gaditana,1,3.098528404244556,2.563761826422336,3.7448401692243363
N. oculata,1,0.6914673543865152,0.5495086701124363,0.8700992872131678
C. velia,1,1.7299205870421006,1.4254932124412345,2.0993612676324522
SSB01,2,3.1919233338398536,2.638091692174121,3.862024432029812
M. gaditana,2,1.5005066540401413,1.205135171516029,1.8682719349949648
N. oculata,2,0.09648805775379005,0.05916835813154276,0.157346689735769
C. velia,2,1.3476798179179794,1.1027764196797776,1.6469710987752486
SSB01,3,3.6245951369580274,2.9748509511805934,4.416251476950798
M. gaditana,3,0.5912574181815594,0.4558271441989101,0.7669252237470402
N. oculata,3,0.04766646566740516,0.026857193764525365,0.08459900796571806
C. velia,3,0.9885793825544227,0.8018031554099183,1.218864242448695
SSB01,6,3.9292920790438397,3.2849396786116745,4.700036455147888
M. gaditana,6,0.3289800146910278,0.23909554536254513,0.45265523413245073
N. oculata,6,0.050043772708311694,0.028620238265022215,0.08750378538748403
C. velia,6,0.8493277980823906,0.6854282777479147,1.0524189503322205
SSB01,10,4.729384092230693,3.9631185324888056,5.643806438915266
M. gaditana,10,0.1087128146366424,0.07005516772260177,0.16870241625883647
N. oculata,10,0.020447070431776435,0.010018978087294647,0.04172907512116518
C. velia,10,0.2981876346828353,0.22386576565521996,0.3971838446021492
