start,end,estimate,SE,df,t.ratio,p.value,label
SSB01,M. gaditana,-2.90512666383365,1.3767207709667477,93.33559422659924,-2.110178567142297,0.22450446857001383,
SSB01,N. oculata,-5.708487044740178,1.6621625442884653,93.33559422659924,-3.4343735300471794,0.007729998765943935,**
SSB01,C. velia,-3.5600526315733876,1.422078806944017,93.33559422659924,-2.5034144480528333,0.09861093904449714,
SSB01,Beads,-3.0804795513115044,1.3502002569589144,93.33559422659924,-2.281498270671149,0.16014355775883204,
M. gaditana,N. oculata,-2.8033603809065277,1.1398431577381238,93.33559422659924,-2.459426423605021,0.10900591593115216,
M. gaditana,C. velia,-0.6549259677397379,0.7475066780746777,93.33559422659924,-0.8761473133947162,0.9049690297598162,
M. gaditana,Beads,-0.17535288747785444,0.599582216629907,93.33559422659924,-0.2924584529265505,0.9983757981871348,
N. oculata,C. velia,2.1484344131667896,1.1942321701371452,93.33559422659924,1.7990089924642243,0.3803484095236903,
N. oculata,Beads,2.6280074934286732,1.1076655979685717,93.33559422659924,2.372563974405603,0.13207819845731306,
C. velia,Beads,0.47957308026188344,0.6974574441834344,93.33559422659924,0.6876019236175127,0.9587071104400408,
