"Repeat(Date)","Algae","Treatment","Well_ID","Larvae","Time_to_first_expulsion"
"I","SSB01","No","S1","1",720
"I","SSB01","No","S1","2",720
"I","SSB01","No","S1","3",720
"I","SSB01","No","S1","4.1",720
"I","SSB01","No","S1","4-2",720
"I","SSB01","No","S1","5",385
"I","SSB01","No","S1","6",720
"I","SSB01","No","S1","7-1",720
"I","SSB01","No","S1","7-2",720
"I","SSB01","No","S1","8",720
"I","SSB01","No","S1","9",720
"I","SSB01","No","S1","10_1",720
"I","SSB01","No","S1","10-2",720
"II","SSB01","No","S2","1",720
"II","SSB01","No","S2","2",720
"II","SSB01","No","S2","3",720
"II","SSB01","No","S2","4",720
"II","SSB01","No","S2","5",720
"II","SSB01","No","S2","6",720
"II","SSB01","No","S2","8",720
"II","SSB01","No","S2","9",720
"II","SSB01","No","S2","10",720
"III","SSB01","No","S3","3",720
"III","SSB01","No","S3","4",720
"III","SSB01","No","S3","5",720
"III","SSB01","No","S3","6",720
"III","SSB01","No","S3","7",115
"III","SSB01","No","S3","8",720
"III","SSB01","No","S3","9",720
"III","SSB01","No","S3","10",720
"2020-08-28","SSB01","No","S4","1",720
"2020-08-28","SSB01","No","S4","2",50
"2020-08-28","SSB01","No","S4","3-1",720
"2020-08-28","SSB01","No","S4","3-2",720
"2020-08-28","SSB01","No","S4","4",720
"2020-08-28","SSB01","No","S4","5",90
"2020-08-28","SSB01","No","S4","6",720
"2020-08-28","SSB01","No","S4","7",720
"2020-08-28","SSB01","No","S4","8",100
"2020-08-28","SSB01","No","S4","9",720
"I","M. gaditana","No","M1","1",95
"I","M. gaditana","No","M1","2",720
"I","M. gaditana","No","M1","4",525
"I","M. gaditana","No","M1","5",365
"I","M. gaditana","No","M1","6",240
"I","M. gaditana","No","M1","7",45
"I","M. gaditana","No","M1","8",250
"I","M. gaditana","No","M1","9-1",515
"I","M. gaditana","No","M1","9-2",520
"I","M. gaditana","No","M1","10-1",720
"I","M. gaditana","No","M1","10-2",200
"II","M. gaditana","No","M2","1",250
"II","M. gaditana","No","M2","2",25
"II","M. gaditana","No","M2","3-1",720
"II","M. gaditana","No","M2","3-2",720
"II","M. gaditana","No","M2","5",55
"II","M. gaditana","No","M2","6",55
"II","M. gaditana","No","M2","7-1",720
"II","M. gaditana","No","M2","7-2",720
"II","M. gaditana","No","M2","8",50
"II","M. gaditana","No","M2","9-1",85
"II","M. gaditana","No","M2","9-2",85
"II","M. gaditana","No","M2","10",115
"III","M. gaditana","No","M3","2",55
"III","M. gaditana","No","M3","3-1",40
"III","M. gaditana","No","M3","3-2",40
"III","M. gaditana","No","M3","4",155
"III","M. gaditana","No","M3","6-1",115
"III","M. gaditana","No","M3","6-2",445
"III","M. gaditana","No","M3","7-1",45
"III","M. gaditana","No","M3","7-2",720
"III","M. gaditana","No","M3","8-1",720
"III","M. gaditana","No","M3","8-2",720
"2020-10-13","M. gaditana","No","M4","1",720
