"Repeat(Date)","Algae","Treatment","Well_ID","Larvae","Time_to_expulsion"
"2020-07-16","SSB01","DMSO","S_D_2020-07-16","1",720
"2020-07-16","SSB01","DMSO","S_D_2020-07-16","2",720
"2020-07-16","SSB01","DMSO","S_D_2020-07-16","3",720
"2020-07-16","SSB01","DMSO","S_D_2020-07-16","4-1",720
"2020-07-16","SSB01","DMSO","S_D_2020-07-16","4-2",720
"2020-07-16","SSB01","DMSO","S_D_2020-07-16","5",720
"2020-07-16","SSB01","DMSO","S_D_2020-07-16","6",720
"2020-07-16","SSB01","DMSO","S_D_2020-07-16","7-1",720
"2020-07-16","SSB01","DMSO","S_D_2020-07-16","7-2",720
"2020-07-16","SSB01","DMSO","S_D_2020-07-16","8",720
"2020-07-16","SSB01","DMSO","S_D_2020-07-16","9",720
"2020-07-16","SSB01","DMSO","S_D_2020-07-16","10",720
"2020-07-20","SSB01","DMSO","S_D_2020-07-20","1",720
"2020-07-20","SSB01","DMSO","S_D_2020-07-20","2",720
"2020-07-20","SSB01","DMSO","S_D_2020-07-20","3",720
"2020-07-20","SSB01","DMSO","S_D_2020-07-20","4",65
"2020-07-20","SSB01","DMSO","S_D_2020-07-20","5",720
"2020-07-20","SSB01","DMSO","S_D_2020-07-20","6",720
"2020-07-20","SSB01","DMSO","S_D_2020-07-20","7",720
"2020-07-20","SSB01","DMSO","S_D_2020-07-20","8",720
"2020-07-20","SSB01","DMSO","S_D_2020-07-20","9",720
"2020-07-20","SSB01","DMSO","S_D_2020-07-20","10",720
"2020-08-06","SSB01","DMSO","S_D_2020-08-06","1",336
"2020-08-06","SSB01","DMSO","S_D_2020-08-06","2",720
"2020-08-06","SSB01","DMSO","S_D_2020-08-06","3",720
"2020-08-06","SSB01","DMSO","S_D_2020-08-06","4",720
"2020-08-06","SSB01","DMSO","S_D_2020-08-06","5",720
"2020-08-06","SSB01","DMSO","S_D_2020-08-06","6",720
"2020-08-06","SSB01","DMSO","S_D_2020-08-06","7",720
"2020-08-06","SSB01","DMSO","S_D_2020-08-06","8",720
"2020-08-06","SSB01","DMSO","S_D_2020-08-06","9",720
"2020-08-06","SSB01","DMSO","S_D_2020-08-06","10",720
"2020-08-10","SSB01","DMSO","S_D_2020-08-10","1",70
"2020-08-10","SSB01","DMSO","S_D_2020-08-10","2",720
"2020-08-10","SSB01","DMSO","S_D_2020-08-10","3",720
"2020-08-10","SSB01","DMSO","S_D_2020-08-10","4",720
"2020-08-10","SSB01","DMSO","S_D_2020-08-10","5",120
"2020-08-10","SSB01","DMSO","S_D_2020-08-10","6",720
"2020-08-10","SSB01","DMSO","S_D_2020-08-10","7",720
"2020-08-10","SSB01","DMSO","S_D_2020-08-10","8",720
"2020-08-10","SSB01","DMSO","S_D_2020-08-10","9",720
"2020-08-10","SSB01","DMSO","S_D_2020-08-10","10",720
"2020/11/31","SSB01","DMSO","S_D_2020/11/31","1",720
"2020/11/31","SSB01","DMSO","S_D_2020/11/31","2",720
"2020/11/31","SSB01","DMSO","S_D_2020/11/31","3",720
"2020/11/31","SSB01","DMSO","S_D_2020/11/31","3_2",720
"2020/11/31","SSB01","DMSO","S_D_2020/11/31","3_3",720
"2020/11/31","SSB01","DMSO","S_D_2020/11/31","4",720
"2020/11/31","SSB01","DMSO","S_D_2020/11/31","5",720
"2020/11/31","SSB01","DMSO","S_D_2020/11/31","6",140
"2020/11/31","SSB01","DMSO","S_D_2020/11/31","6_2",720
"2020/11/31","SSB01","DMSO","S_D_2020/11/31","7",720
"2020/11/31","SSB01","DMSO","S_D_2020/11/31","7_2",720
"2020/11/31","SSB01","DMSO","S_D_2020/11/31","8",720
"2020/11/31","SSB01","DMSO","S_D_2020/11/31","9",720
"2020/11/31","SSB01","DMSO","S_D_2020/11/31","10",720
"2020-07-10","SSB01","XMD17-109","S_X_2020-07-10","1",210
"2020-07-10","SSB01","XMD17-109","S_X_2020-07-10","2",720
"2020-07-10","SSB01","XMD17-109","S_X_2020-07-10","3",10
"2020-07-10","SSB01","XMD17-109","S_X_2020-07-10","5",720
"2020-07-10","SSB01","XMD17-109","S_X_2020-07-10","9",720
"2020-07-10","SSB01","XMD17-109","S_X_2020-07-10","10",720
"2020-07-11","SSB01","XMD17-109","S_X_2020-07-11","1",50
"2020-07-11","SSB01","XMD17-109","S_X_2020-07-11","2",720
"2020-07-11","SSB01","XMD17-109","S_X_2020-07-11","3-1",720
"2020-07-11","SSB01","XMD17-109","S_X_2020-07-11","3-2",720
"2020-07-11","SSB01","XMD17-109","S_X_2020-07-11","4",35
"2020-07-11","SSB01","XMD17-109","S_X_2020-07-11","5",720
"2020-07-11","SSB01","XMD17-109","S_X_2020-07-11","6",720
"2020-07-11","SSB01","XMD17-109","S_X_2020-07-11","7",720
"2020-07-11","SSB01","XMD17-109","S_X_2020-07-11","8",720
"2020-07-11","SSB01","XMD17-109","S_X_2020-07-11","9",720
"2020-07-11","SSB01","XMD17-109","S_X_2020-07-11","10",720
"2020-07-29","SSB01","XMD17-109","S_X_2020-07-29","1",720
"2020-07-29","SSB01","XMD17-109","S_X_2020-07-29","2",375
"2020-07-29","SSB01","XMD17-109","S_X_2020-07-29","3-1",720
"2020-07-29","SSB01","XMD17-109","S_X_2020-07-29","3-2",720
"2020-07-29","SSB01","XMD17-109","S_X_2020-07-29","4",720
"2020-07-29","SSB01","XMD17-109","S_X_2020-07-29","5",720
"2020-07-29","SSB01","XMD17-109","S_X_2020-07-29","6",720
