"Col0","V1"
"ncbi-proteinid:XP_020895471","epa:110231150"
"ncbi-proteinid:XP_020891795","epa:110231151"
"ncbi-proteinid:XP_020891796","epa:110231152"
"ncbi-proteinid:XP_020891797","epa:110231153"
"ncbi-proteinid:XP_020891798","epa:110231154"
"ncbi-proteinid:XP_020891799","epa:110231155"
"ncbi-proteinid:XP_020891800","epa:110231156"
"ncbi-proteinid:XP_020891801","epa:110231157"
"ncbi-proteinid:XP_020891805","epa:110231158"
"ncbi-proteinid:XP_020891802","epa:110231159"
"ncbi-proteinid:XP_020891803","epa:110231160"
"ncbi-proteinid:XP_020891804","epa:110231161"
"ncbi-proteinid:XP_020891806","epa:110231162"
"ncbi-proteinid:XP_020891807","epa:110231163"
"ncbi-proteinid:XP_020891808","epa:110231164"
"ncbi-proteinid:XP_020891809","epa:110231165"
"ncbi-proteinid:XP_020891810","epa:110231166"
"ncbi-proteinid:XP_020891811","epa:110231167"
"ncbi-proteinid:XP_020891812","epa:110231168"
"ncbi-proteinid:XP_020891816","epa:110231169"
"ncbi-proteinid:XP_020891813","epa:110231170"
"ncbi-proteinid:XP_020891814","epa:110231171"
"ncbi-proteinid:XP_020891815","epa:110231172"
"ncbi-proteinid:XP_020891817","epa:110231173"
"ncbi-proteinid:XP_020891818","epa:110231174"
"ncbi-proteinid:XP_020891819","epa:110231175"
"ncbi-proteinid:XP_020891820","epa:110231176"
"ncbi-proteinid:XP_020891821","epa:110231177"
"ncbi-proteinid:XP_020891822","epa:110231178"
"ncbi-proteinid:XP_020891823","epa:110231179"
"ncbi-proteinid:XP_020891827","epa:110231180"
"ncbi-proteinid:XP_020891824","epa:110231181"
"ncbi-proteinid:XP_020891825","epa:110231182"
"ncbi-proteinid:XP_020891826","epa:110231183"
"ncbi-proteinid:XP_020891828","epa:110231184"
"ncbi-proteinid:XP_020891829","epa:110231185"
"ncbi-proteinid:XP_020891830","epa:110231186"
"ncbi-proteinid:XP_020891831","epa:110231187"
"ncbi-proteinid:XP_020891832","epa:110231188"
"ncbi-proteinid:XP_020891833","epa:110231189"
"ncbi-proteinid:XP_020891834","epa:110231190"
"ncbi-proteinid:XP_020891838","epa:110231191"
"ncbi-proteinid:XP_020891835","epa:110231192"
"ncbi-proteinid:XP_020891837","epa:110231194"
"ncbi-proteinid:XP_020891839","epa:110231195"
"ncbi-proteinid:XP_020891840","epa:110231196"
"ncbi-proteinid:XP_020891841","epa:110231197"
"ncbi-proteinid:XP_020891842","epa:110231198"
"ncbi-proteinid:XP_020891843","epa:110231199"
"ncbi-proteinid:XP_020891844","epa:110231200"
"ncbi-proteinid:XP_020891845","epa:110231201"
"ncbi-proteinid:XP_020891849","epa:110231202"
"ncbi-proteinid:XP_020891846","epa:110231203"
"ncbi-proteinid:XP_020891847","epa:110231204"
"ncbi-proteinid:XP_020891848","epa:110231205"
"ncbi-proteinid:XP_020891850","epa:110231207"
"ncbi-proteinid:XP_020891851","epa:110231208"
"ncbi-proteinid:XP_020891852","epa:110231209"
"ncbi-proteinid:XP_020891853","epa:110231210"
"ncbi-proteinid:XP_020891854","epa:110231211"
"ncbi-proteinid:XP_020891856","epa:110231212"
