"Col0","apoapo_rep1","apoapo_rep2","apoapo_rep3","apoapo_rep4","apoapo_rep5","aposym_rep1","aposym_rep2","aposym_rep3","aposym_rep4","aposym_rep5","symsym_rep1","symsym_rep2","symsym_rep3","symsym_rep4","symsym_rep5","symsym_rep6","apona_rep1","apona_rep2","apona_rep3","nana_rep1","nana_rep2","nana_rep3"
"XM_021060312.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2219
"XM_021050405.1",0,1198,0,237,667,1507,623,286,256,0,0,0,0,0,0,0,0,1013,277,945,0,2969
"XM_021043006.1",0,0,240.60476,3912.872311,0,0,1.525949,210.499141,0,21.652842,0,0,0,338.64668,0,1905.563586,0,0,0,520.294237,0,18.53873
"XM_021050906.1",0,0,0,0,0,0,0,57.467649,290.179983,0,0,0,0,0,0,0,0,0,0,926.001889,6820.614176,0
"XM_021046856.1",16.452617,11.376511,4,57.438378,39.10732,14.717225,174.669246,33.827811,89.695264,59,4,0,0,0,45,31,0,22,75.314349,198.880371,270.372593,192.092949
"XM_021039487.1",171.054208,0,0,0,261.164288,24.47247,324.842202,24.284635,228.706764,0,0,0,0,0,0,364.20564,0,92.832954,120.599215,511.351384,485.206114,0
"XM_021053216.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021052086.1",0,0,0,0,0,291.414948,0,25.340755,0,0,0,0,0,0,0,0,0,35.118063,0,0,502.513867,0
"XM_021040001.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021050492.1",115,1835,444,0,2157,1375,359,368,0,1956,0,0,0,0,0,0,0,299,0,3072,0,0
"XM_021040870.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021058665.1",3,1,484,984,0,0,2206,438,1135,800,6,0,44,94,0,139,147,700,169,870,660,2836
"XM_021061506.1",0,0,0,135.593598,0,0,0,0,25.581624,0,0,0,0,0,0,0,0,0,0,151.12313,25.198154,272.09802
"XM_021053002.1",504,31,3,0,0,1121,1970.143011,645,118,916,46,6,22,5594,1,0,496,1295,603,938,6107,5217
"XM_021038651.1",12,0,0,0,0,6,0,0,0,0,19,0,0,0,0,0,0,0,2,0,0,0
"XM_021053455.1",191.094159,67,217,1910.997801,343,1056.210783,73,450,1130,0,0,0,0,0,0,5165,0,1791,8,402,4580,10129
"XM_021046875.1",0,0,41,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,192,244,0,0
"XM_021047057.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0
"XM_021048736.1",40,118,17,0,0,0,0,3,18,0,0,0,0,0,0,0,0,14,0,0,76,200
"XM_021039236.1",2,0,0,0,0,2,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0
"XM_021051952.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"XM_021039872.1",107.78516,211.055467,224.507101,0,0,4.109456,134.087277,185.935589,2015.002074,305.082171,0,0,0,2.269459,0,3.7657,0,0,128.803035,174.299284,236.850217,327.683802
"XM_021041976.1",18861,10943,5637,12039,12382,14597,28324,17964,16047,15833,2049,7,10913,3372,33858,40663,4636,16279,24461,26021,46785,38344
"XM_021043741.1",20931,42443.84055,10231,16309,20640,62662,46314,31952,26422,37607,1947,7306,15457,63321,24861,61638.232531,8494,20860,33125,57413,55996,66739
"XM_021048745.1",0,0,120.583809,0,0,1305.255004,0,56.974416,0,557.445928,0,0,0,0,2,0,0,0,345.247042,854.299225,0,1219.97981
"XM_021042892.1",171,152,447.670963,569.771383,1846,2989.643238,2893.489674,273.092634,758.193692,26,0,0,21,221.584899,672.938035,0,0,138.356586,255.071812,1398.10044,0,5976.953208
"XM_021054879.1",1506.233099,0,16,208,23,874.751229,713.088217,78,27,974,3,0,3,0,0,0,1,100,630.175578,6.070487,1.890187,5442
"XM_021054625.1",4.074725,0,4.046934,0,0,0,0,16.188879,20.279309,239.335763,1.450557,0,0,338,0,0,0,0,0,754.695298,0,1214.019407
"XM_021040167.1",0,1994,736,0,0,0,0,599,843,12,0,0,947,0,0,0,0,0,0,0,0,6768
"XM_021037184.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
