"Repeat(Date)","Algae","Treatment","Well_ID","Larvae","Number of Symbionts"
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",1,0
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",2,0
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",3,1
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",4,2
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",5,0
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",6,0
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",7,0
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",8,0
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",9,1
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",10,13
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",11,0
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",12,1
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",13,0
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",14,0
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",15,7
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",16,0
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",17,0
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",18,0
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",19,0
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",20,1
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",21,0
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",22,1
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",23,0
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",24,0
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",25,0
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",26,2
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",27,1
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",28,10
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",29,1
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",30,2
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",31,0
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",32,9
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",33,0
"2019-02-18T00:00","SSB01","control","S_c_2019-02-18",34,0
