"Repeat(Date)","Algae","Treatment","Well_ID","Larvae","Number of Symbionts"
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",1,2
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",2,12
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",3,0
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",4,0
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",5,0
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",6,4
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",7,0
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",8,0
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",9,0
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",10,0
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",11,0
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",12,2
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",13,0
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",14,6
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",15,0
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",16,0
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",17,0
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",18,3
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",19,4
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",20,1
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",21,0
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",22,4
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",23,0
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",24,4
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",25,0
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",26,0
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",27,1
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",28,4
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",29,8
"2019-03-27T00:00","SSB01","control","S_c_2019-03-27",30,0
