"Repeat(Date)","Algae","Treatment","Well_ID","Larvae","Time_to_first_expulsion"
"2019-05-14T00:00","SSB01","control","SC1","1-1",95
"2019-05-14T00:00","SSB01","control","SC1","1-2",95
"2019-05-14T00:00","SSB01","control","SC1","2-1",5
"2019-05-14T00:00","SSB01","control","SC1","2-2",95
"2019-05-14T00:00","SSB01","control","SC1","4-1",95
"2019-05-14T00:00","SSB01","control","SC1","4-2",95
"2019-05-14T00:00","SSB01","control","SC1","5",95
"2019-05-14T00:00","SSB01","control","SC1","6-1",95
"2019-05-14T00:00","SSB01","control","SC1","6-2",95
"2019-05-14T00:00","SSB01","control","SC1","7-1",95
"2019-05-14T00:00","SSB01","control","SC1","7-2",95
"2019-05-14T00:00","SSB01","control","SC1","8-1",95
"2019-05-14T00:00","SSB01","control","SC1","8-2",95
"2019-05-14T00:00","SSB01","control","SC1","9-1",95
"2019-05-14T00:00","SSB01","control","SC1","9-2",95
"2019-05-14T00:00","SSB01","control","SC1","9-3",95
"2019-05-14T00:00","SSB01","control","SC1","10-1",95
"2019-05-14T00:00","SSB01","control","SC1","10-2",95
"2019-05-21T00:00","SSB01","control","SC2","2-1",95
"2019-05-21T00:00","SSB01","control","SC2","2-2",95
"2019-05-21T00:00","SSB01","control","SC2","3",95
"2019-05-21T00:00","SSB01","control","SC2","4",95
"2019-05-22T00:00","SSB01","control","SC3","1-1",15
"2019-05-22T00:00","SSB01","control","SC3","1-2",15
"2019-05-22T00:00","SSB01","control","SC3","2",25
"2019-05-22T00:00","SSB01","control","SC3","3-1",95
"2019-05-22T00:00","SSB01","control","SC3","3-2",95
"2019-05-22T00:00","SSB01","control","SC3","3-3",95
"2019-05-22T00:00","SSB01","control","SC3","5",95
"2019-05-22T00:00","SSB01","control","SC3","6",95
"2019-05-22T00:00","SSB01","control","SC3","7-1",95
"2019-05-22T00:00","SSB01","control","SC3","7-2",95
"2019-05-22T00:00","SSB01","control","SC3","8",95
"2019-05-22T00:00","SSB01","control","SC3","9",95
"2019-05-22T00:00","SSB01","control","SC3","10-1",95
"2019-05-22T00:00","SSB01","control","SC3","10-2",95
"2019-05-28T00:00","SSB01","control","SC4","1",45
"2019-05-28T00:00","SSB01","control","SC4","2-1",95
"2019-05-28T00:00","SSB01","control","SC4","2-2",95
"2019-05-28T00:00","SSB01","control","SC4","2-3",95
"2019-05-28T00:00","SSB01","control","SC4","3-1",95
"2019-05-28T00:00","SSB01","control","SC4","3-2",95
"2019-05-28T00:00","SSB01","control","SC4","5-1",95
"2019-05-28T00:00","SSB01","control","SC4","5-2",95
"2019-05-28T00:00","SSB01","control","SC4","6-1",95
"2019-05-28T00:00","SSB01","control","SC4","6-2",95
"2019-05-28T00:00","SSB01","control","SC4","7-1",95
"2019-05-28T00:00","SSB01","control","SC4","7-2",95
"2019-05-28T00:00","SSB01","control","SC4","8",95
"2019-05-28T00:00","SSB01","control","SC4","11",95
"2019-05-15T00:00","SSB01","LPS","SL1","1",30
"2019-05-15T00:00","SSB01","LPS","SL1","3",10
"2019-05-15T00:00","SSB01","LPS","SL1","4-1",95
"2019-05-15T00:00","SSB01","LPS","SL1","4-2",95
"2019-05-15T00:00","SSB01","LPS","SL1","5-1",95
"2019-05-15T00:00","SSB01","LPS","SL1","5-2",95
"2019-05-15T00:00","SSB01","LPS","SL1","6-1",35
"2019-05-15T00:00","SSB01","LPS","SL1","6-2",35
"2019-05-15T00:00","SSB01","LPS","SL1","7",95
"2019-05-15T00:00","SSB01","LPS","SL1","8",40
"2019-05-16T00:00","SSB01","LPS","SL2","1-1",25
"2019-05-16T00:00","SSB01","LPS","SL2","1-2",25
"2019-05-16T00:00","SSB01","LPS","SL2","1-3",25
"2019-05-16T00:00","SSB01","LPS","SL2","2",95
"2019-05-16T00:00","SSB01","LPS","SL2","3",95
"2019-05-16T00:00","SSB01","LPS","SL2","4",95
"2019-05-16T00:00","SSB01","LPS","SL2","5-1",95
"2019-05-16T00:00","SSB01","LPS","SL2","5-2",95
"2019-05-16T00:00","SSB01","LPS","SL2","5-3",95
"2019-05-16T00:00","SSB01","LPS","SL2","6-1",95
"2019-05-16T00:00","SSB01","LPS","SL2","6-2",95
"2019-05-16T00:00","SSB01","LPS","SL2","7",30
"2019-05-16T00:00","SSB01","LPS","SL2","8",95
"2019-05-16T00:00","SSB01","LPS","SL2","9",15
"2019-05-16T00:00","SSB01","LPS","SL2","10",95
"2019-05-16T00:00","SSB01","LPS","SL2","11-1",95
"2019-05-16T00:00","SSB01","LPS","SL2","11-2",95
"2019-05-16T00:00","SSB01","LPS","SL2","12",95
"2019-05-16T00:00","SSB01","LPS","SL2","13-1",45
"2019-05-16T00:00","SSB01","LPS","SL2","13-2",45
"2019-05-16T00:00","SSB01","LPS","SL2","13-3",45
"2019-05-16T00:00","SSB01","LPS","SL2","14-1",95
"2019-05-16T00:00","SSB01","LPS","SL2","14-2",60
"2019-05-29T00:00","SSB01","LPS","SL3","4-1",45
"2019-05-29T00:00","SSB01","LPS","SL3","4-2",45
"2019-05-29T00:00","SSB01","LPS","SL3","7",80
"2019-05-29T00:00","SSB01","LPS","SL3","8-1",95
"2019-05-29T00:00","SSB01","LPS","SL3","8-2",95
"2019-05-29T00:00","SSB01","LPS","SL3","9",95
"2019-05-29T00:00","SSB01","LPS","SL3","10",95
"2019-05-29T00:00","SSB01","LPS","SL3","11-1",55
"2019-05-29T00:00","SSB01","LPS","SL3","11-2",55
