"Repeat(Date)","Algae","Treatment","Well_ID","Larvae","Number of Symbionts"
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",1,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",2,2
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",3,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",4,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",5,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",6,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",7,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",8,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",9,1
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",10,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",11,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",12,1
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",13,7
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",14,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",15,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",16,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",17,1
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",18,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",19,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",20,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",21,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",22,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",23,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",24,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",25,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",26,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",27,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",28,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",29,1
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",30,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",31,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",32,3
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",33,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",34,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",35,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",36,2
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",37,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",38,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",39,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",40,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",41,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",42,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",43,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",44,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",45,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",46,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",47,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",48,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",49,0
"2020-11-04T00:00","SSB01","CP","S_C_2020-11-04",50,0
"2020-11-04T00:00","M. gaditana","CP","M_C_2020-11-04",1,0
"2020-11-04T00:00","M. gaditana","CP","M_C_2020-11-04",2,0
"2020-11-04T00:00","M. gaditana","CP","M_C_2020-11-04",3,0
