"Col0","V1"
"epa:110240792","ko:K22755"
"epa:110240719","ko:K22611"
"epa:110249802","ko:K07874"
"epa:110250865","ko:K04464"
"epa:110236199","ko:K14613"
"epa:110235103","ko:K22314"
"epa:110232890","ko:K07253"
"epa:110232075","ko:K01102"
"epa:110242396","ko:K12192"
"epa:110251814","ko:K00591"
"epa:110245806","ko:K01102"
"epa:110248806","ko:K01102"
"epa:110243839","ko:K22557"
"epa:110231441","ko:K04288"
"epa:110248058","ko:K22610"
"epa:110247851","ko:K22611"
"epa:110232837","ko:K22790"
"epa:110233146","ko:K04612"
"epa:110231637","ko:K04141"
"epa:110234813","ko:K03662"
"epa:110234816","ko:K18410"
"epa:110234418","ko:K02599"
"epa:110234421","ko:K02599"
"epa:110234422","ko:K02599"
"epa:110234426","ko:K15143"
"epa:110234430","ko:K10349"
"epa:110234431","ko:K16175"
"epa:110234438","ko:K04285"
"epa:110234791","ko:K17261"
"epa:110234788","ko:K18186"
"epa:110234794","ko:K02375"
"epa:110234796","ko:K02105"
"epa:110234806","ko:K21873"
"epa:110234808","ko:K08683"
"epa:110234810","ko:K11529"
"epa:110238298","ko:K22582"
"epa:110237065","ko:K04288"
"epa:110255139","ko:K05051"
"epa:110242507","ko:K04288"
"epa:110231503","ko:K04150"
"epa:110231543","ko:K04150"
"epa:110232194","ko:K04150"
"epa:110233379","ko:K04150"
"epa:110233896","ko:K04150"
"epa:110233694","ko:K04150"
"epa:110231363","ko:K04150"
"epa:110231557","ko:K04150"
"epa:110231665","ko:K04150"
"epa:110231776","ko:K04150"
"epa:110231824","ko:K04150"
"epa:110231969","ko:K22790"
"epa:110231983","ko:K04150"
"epa:110232323","ko:K04150"
"epa:110232379","ko:K04150"
"epa:110232382","ko:K04150"
"epa:110232508","ko:K04150"
"epa:110232522","ko:K22790"
"epa:110232783","ko:K04150"
"epa:110233755","ko:K04150"
"epa:110244876","ko:K04598"
"epa:110233673","ko:K09452"
"epa:110241836","ko:K22647"
"epa:110247933","ko:K09228"
"epa:110247929","ko:K09228"
"epa:110243071","ko:K04978"
"epa:110247268","ko:K09452"
"epa:110243698","ko:K22459"
"epa:110236884","ko:K22556"
"epa:110234817","ko:K09455"
"epa:110245388","ko:K22499"
"epa:110234852","ko:K22657"
"epa:110234885","ko:K16569"
"epa:110236718","ko:K22314"
"epa:110255075","ko:K22314"
"epa:110245204","ko:K01303"
"epa:110231211","ko:K09657"
"epa:110232530","ko:K22371"
"epa:110231573","ko:K22559"
"epa:110242936","ko:K22566"
"epa:110248063","ko:K17495"
"epa:110253213","ko:K04285"
"epa:110235080","ko:K19721"
"epa:110235198","ko:K09068"
"epa:110235199","ko:K09068"
"epa:110235251","ko:K19739"
"epa:110234877","ko:K04968"
"epa:110234868","ko:K10049"
"epa:110234942","ko:K08228"
"epa:110234951","ko:K04253"
"epa:110235068","ko:K15607"
"epa:110234447","ko:K00939"
"epa:110234474","ko:K16572"
"epa:110234235","ko:K00326"
"epa:110234270","ko:K18420"
"epa:110233234","ko:K20910"
"epa:110243130","ko:K16339"
"epa:110250624","ko:K22754"
"epa:110251590","ko:K22733"
"epa:110243477","ko:K22733"
"epa:110241191","ko:K04291"
"epa:110232888","ko:K04514"
"epa:110234859","ko:K04150"
"epa:110235247","ko:K04150"
"epa:110235264","ko:K04150"
"epa:110235265","ko:K04150"
"epa:110235266","ko:K04150"
"epa:110235272","ko:K04150"
"epa:110235012","ko:K04150"
"epa:110234236","ko:K04150"
"epa:110234715","ko:K04150"
"epa:110246076","ko:K22555"
"epa:110254634","ko:K09678"
"epa:110242073","ko:K22745"
"epa:110244336","ko:K09649"
"epa:110239921","ko:K22371"
"epa:110240991","ko:K16823"
"epa:110240219","ko:K22371"
"epa:110240227","ko:K22371"
"epa:110235720","ko:K04591"
"epa:110246462","ko:K22370"
"epa:110254209","ko:K22371"
"epa:110237444","ko:K22888"
"epa:110245560","ko:K01025"
"epa:110244645","ko:K07611"
"epa:110250761","ko:K04285"
"epa:110240247","ko:K15285"
"epa:110254820","ko:K04615"
"epa:110250858","ko:K06240"
"epa:110243402","ko:K17276"
"epa:110249592","ko:K20520"
"epa:110243631","ko:K22556"
"epa:110235381","ko:K21893"
"epa:110235413","ko:K11303"
"epa:110235441","ko:K00472"
"epa:110235455","ko:K20100"
"epa:110235459","ko:K14428"
"epa:110235463","ko:K03018"
"epa:110235464","ko:K09228"
"epa:110235466","ko:K03671"
"epa:110235365","ko:K20290"
"epa:110235395","ko:K06537"
"epa:110235454","ko:K03910"
"epa:110235457","ko:K19870"
"epa:110235465","ko:K09228"
"epa:110235535","ko:K08073"
"epa:110235383","ko:K10567"
"epa:110235399","ko:K06176"
"epa:110235431","ko:K15410"
"epa:110235443","ko:K09084"
"epa:110235458","ko:K04968"
"epa:110235479","ko:K11997"
"epa:110235432","ko:K04412"
"epa:110235445","ko:K03019"
"epa:110235435","ko:K20031"
"epa:110235386","ko:K10268"
"epa:110235484","ko:K14156"
"epa:110235371","ko:K06528"
"epa:110235402","ko:K04362"
"epa:110235444","ko:K10144"
"epa:110235421","ko:K13750"
"epa:110235488","ko:K19022"
"epa:110235388","ko:K14611"
"epa:110235404","ko:K16913"
"epa:110235422","ko:K16190"
"epa:110235437","ko:K00472"
"epa:110235490","ko:K19360"
"epa:110235491","ko:K08399"
"epa:110235496","ko:K11276"
"epa:110235448","ko:K12587"
"epa:110235493","ko:K02900"
"epa:110235500","ko:K08202"
"epa:110235407","ko:K00624"
"epa:110235506","ko:K21423"
"epa:110235509","ko:K19327"
"epa:110235391","ko:K08776"
"epa:110235408","ko:K19269"
"epa:110235409","ko:K00943"
"epa:110235425","ko:K12165"
"epa:110235439","ko:K00472"
"epa:110235517","ko:K11801"
"epa:110235523","ko:K05925"
"epa:110235374","ko:K07819"
"epa:110235392","ko:K05673"
"epa:110235519","ko:K09410"
"epa:110235521","ko:K10260"
"epa:110235533","ko:K09410"
"epa:110235375","ko:K11674"
"epa:110235393","ko:K05673"
"epa:110235536","ko:K05284"
"epa:110235396","ko:K05673"
"epa:110235607","ko:K10842"
"epa:110235636","ko:K14566"
"epa:110235640","ko:K10478"
"epa:110235641","ko:K07904"
"epa:110235645","ko:K20368"
"epa:110235642","ko:K14303"
"epa:110235651","ko:K01958"
"epa:110235654","ko:K16472"
"epa:110235657","ko:K00649"
"epa:110235611","ko:K00863"
"epa:110235614","ko:K13168"
"epa:110235547","ko:K18754"
"epa:110235546","ko:K18754"
"epa:110235551","ko:K20307"
"epa:110235548","ko:K22139"
"epa:110235549","ko:K15538"
"epa:110235555","ko:K20068"
"epa:110235550","ko:K07935"
"epa:110235556","ko:K08409"
"epa:110235559","ko:K18438"
"epa:110235561","ko:K00799"
"epa:110235562","ko:K00128"
"epa:110235567","ko:K02349"
"epa:110235569","ko:K00685"
"epa:110235586","ko:K19607"
"epa:110235587","ko:K16675"
"epa:110235592","ko:K08790"
"epa:110235588","ko:K00611"
"epa:110235585","ko:K09848"
"epa:110235590","ko:K01332"
"epa:110235591","ko:K18598"
"epa:110235600","ko:K10798"
"epa:110235604","ko:K04079"
"epa:110235605","ko:K20826"
"epa:110235608","ko:K18408"
"epa:110235609","ko:K11665"
"epa:110235618","ko:K02325"
"epa:110235573","ko:K13131"
"epa:110235622","ko:K03348"
"epa:110235626","ko:K04378"
"epa:110235624","ko:K03233"
"epa:110235634","ko:K13278"
"epa:110235631","ko:K18626"
"epa:110235633","ko:K18753"
"epa:110235648","ko:K11493"
"epa:110235652","ko:K03131"
"epa:110235655","ko:K02926"
"epa:110235656","ko:K01166"
"epa:110238060","ko:K18040"
"epa:110238062","ko:K18469"
"epa:110238063","ko:K10352"
"epa:110238066","ko:K12401"
"epa:110238027","ko:K12198"
"epa:110238076","ko:K14557"
"epa:110238085","ko:K01307"
"epa:110238086","ko:K04658"
"epa:110239020","ko:K11140"
"epa:110239030","ko:K18406"
"epa:110239031","ko:K03671"
"epa:110239035","ko:K13353"
"epa:110239037","ko:K00861"
"epa:110239043","ko:K05312"
"epa:110239050","ko:K15837"
"epa:110239051","ko:K15542"
"epa:110239056","ko:K11826"
"epa:110239057","ko:K12670"
"epa:110239058","ko:K17908"
"epa:110239062","ko:K10645"
"epa:110239064","ko:K18626"
"epa:110239065","ko:K22038"
"epa:110239070","ko:K12831"
"epa:110239071","ko:K16465"
"epa:110239072","ko:K20069"
"epa:110239074","ko:K09567"
"epa:110239075","ko:K13758"
"epa:110239077","ko:K14833"
"epa:110240022","ko:K09454"
"epa:110240023","ko:K10289"
"epa:110240026","ko:K12891"
"epa:110240030","ko:K12837"
"epa:110240032","ko:K05542"
"epa:110240037","ko:K04194"
"epa:110240041","ko:K14662"
"epa:110240043","ko:K11855"
"epa:110240047","ko:K08202"
"epa:110240054","ko:K13752"
"epa:110240055","ko:K14304"
"epa:110240057","ko:K02138"
"epa:110240065","ko:K10743"
"epa:110240066","ko:K18170"
"epa:110240069","ko:K00665"
"epa:110240070","ko:K08059"
"epa:110240073","ko:K05692"
"epa:110240076","ko:K11269"
"epa:110240077","ko:K21988"
"epa:110241019","ko:K00744"
"epa:110241020","ko:K00744"
"epa:110241023","ko:K01787"
"epa:110241029","ko:K01749"
"epa:110241030","ko:K20647"
"epa:110241032","ko:K15909"
"epa:110241041","ko:K00486"
"epa:110241045","ko:K03174"
"epa:110241047","ko:K20407"
"epa:110241048","ko:K12323"
"epa:110241050","ko:K05092"
"epa:110241051","ko:K18660"
"epa:110241052","ko:K20067"
"epa:110241054","ko:K21031"
"epa:110241055","ko:K21767"
"epa:110241064","ko:K12261"
"epa:110241065","ko:K07188"
"epa:110241067","ko:K16196"
"epa:110241072","ko:K16449"
"epa:110236094","ko:K08840"
"epa:110236095","ko:K02938"
"epa:110236106","ko:K15271"
"epa:110236110","ko:K13148"
"epa:110236120","ko:K17563"
"epa:110236121","ko:K15203"
"epa:110236132","ko:K11147"
"epa:110236133","ko:K08851"
"epa:110236136","ko:K00232"
"epa:110236139","ko:K17525"
"epa:110236142","ko:K04874"
"epa:110236143","ko:K10299"
"epa:110236144","ko:K15112"
"epa:110236148","ko:K12833"
"epa:110236151","ko:K04358"
"epa:110236153","ko:K12667"
"epa:110237086","ko:K05724"
"epa:110237087","ko:K20813"
"epa:110237093","ko:K03514"
"epa:110237100","ko:K00714"
"epa:110237103","ko:K03793"
"epa:110237104","ko:K12350"
"epa:110237106","ko:K12301"
"epa:110237108","ko:K11997"
"epa:110237117","ko:K00714"
"epa:110237118","ko:K07819"
"epa:110237119","ko:K07819"
"epa:110237121","ko:K12035"
"epa:110237129","ko:K00714"
"epa:110237130","ko:K12301"
"epa:110237135","ko:K06238"
"epa:110237139","ko:K15710"
"epa:110238094","ko:K02981"
"epa:110238095","ko:K04658"
"epa:110238096","ko:K03098"
"epa:110238097","ko:K03098"
"epa:110238100","ko:K08524"
"epa:110238105","ko:K04364"
"epa:110238107","ko:K17868"
"epa:110238109","ko:K15360"
"epa:110238114","ko:K04348"
"epa:110238117","ko:K11997"
"epa:110238115","ko:K04500"
"epa:110238119","ko:K19413"
"epa:110238121","ko:K20478"
"epa:110238122","ko:K10593"
"epa:110238126","ko:K08834"
"epa:110238127","ko:K04677"
"epa:110238130","ko:K00544"
"epa:110238131","ko:K00544"
"epa:110238132","ko:K00544"
"epa:110238135","ko:K00544"
"epa:110238136","ko:K12304"
"epa:110238144","ko:K00111"
"epa:110239079","ko:K00797"
"epa:110239080","ko:K08202"
"epa:110239081","ko:K02311"
"epa:110239083","ko:K09403"
"epa:110239085","ko:K11294"
"epa:110239088","ko:K01047"
"epa:110239089","ko:K08957"
"epa:110239091","ko:K13342"
"epa:110239092","ko:K11826"
"epa:110239093","ko:K16478"
"epa:110239100","ko:K16727"
"epa:110239101","ko:K16801"
"epa:110239105","ko:K11314"
"epa:110239112","ko:K08814"
"epa:110239113","ko:K06670"
"epa:110239110","ko:K19513"
"epa:110239118","ko:K12488"
"epa:110239121","ko:K00461"
"epa:110239124","ko:K12857"
"epa:110239125","ko:K14464"
"epa:110239126","ko:K05129"
"epa:110239127","ko:K20367"
"epa:110239133","ko:K09093"
"epa:110239135","ko:K11253"
"epa:110239136","ko:K19683"
"epa:110239137","ko:K05048"
"epa:110239138","ko:K08876"
"epa:110240080","ko:K13024"
"epa:110240082","ko:K10581"
"epa:110240084","ko:K04364"
"epa:110240086","ko:K12399"
"epa:110240087","ko:K08817"
"epa:110240089","ko:K04710"
"epa:110240091","ko:K19948"
"epa:110240093","ko:K19025"
"epa:110240095","ko:K02183"
"epa:110240096","ko:K07432"
"epa:110240097","ko:K21286"
"epa:110240099","ko:K10335"
"epa:110240103","ko:K13753"
"epa:110240114","ko:K10408"
