"Sequence Name","coded_by"
"XP_020917879","XM_021062220.1:2..1867"
"XP_020917878","XM_021062219.1:6..1340"
"XP_020891794","XM_021036135.1:171..710"
"XP_020917877","XM_021062218.1:83..1489"
"XP_020917876","XM_021062217.1:1..555"
"XP_020917875","XM_021062216.1:1..579"
"XP_020917874","XM_021062215.1:1..1302"
"XP_020917873","XM_021062214.1:26..343"
"XP_020917872","XM_021062213.1:73..1347"
"XP_020917871","XM_021062212.1:1..936"
"XP_020917869","XM_021062210.1:146..1120"
"XP_020917868","XM_021062209.1:76..624"
"XP_020917867","XM_021062208.1:97..660"
"XP_020917870","XM_021062211.1:141..1886"
"XP_020917866","XM_021062207.1:162..983"
"XP_020917865","XM_021062206.1:122..757"
"XP_020917864","XM_021062205.1:69..1208"
"XP_020917863","XM_021062204.1:26..316"
"XP_020917862","XM_021062203.1:85..1047"
"XP_020917861","XM_021062202.1:2..1003"
"XP_020917859","XM_021062200.1:89..439"
"XP_020917858","XM_021062199.1:10..1581"
"XP_020917856","XM_021062197.1:1098..2021"
"XP_020917857","XM_021062198.1:305..1228"
"XP_020917855","XM_021062196.1:113..2536"
"XP_020917854","XM_021062195.1:295..1653"
"XP_020917853","XM_021062194.1:13..588"
"XP_020917851","XM_021062192.1:214..3306"
"XP_020917850","XM_021062191.1:376..1578"
"XP_020917849","XM_021062190.1:14..1384"
"XP_020917848","XM_021062189.1:85..657"
"XP_020917847","XM_021062188.1:169..1428"
"XP_020917846","XM_021062187.1:59..898"
"XP_020917845","XM_021062186.1:7..1611"
"XP_020891793","XM_021036134.1:349..879"
"XP_020917843","XM_021062184.1:74..2692"
"XP_020917842","XM_021062183.1:74..1000"
"XP_020917841","XM_021062182.1:145..>1952"
"XP_020917840","XM_021062181.1:49..3465"
"XP_020917839","XM_021062180.1:47..913"
"XP_020917838","XM_021062179.1:44..1138"
"XP_020917837","XM_021062178.1:213..3158"
"XP_020917834","XM_021062175.1:5..736"
"XP_020917835","XM_021062176.1:81..674"
"XP_020917836","XM_021062177.1:505..1560"
"XP_020917844","XM_021062185.1:141..1196"
"XP_020917852","XM_021062193.1:34..1089"
"XP_020917860","XM_021062201.1:302..1357"
"XP_020917833","XM_021062174.1:276..2222"
"XP_020917832","XM_021062173.1:4..4032"
"XP_020917830","XM_021062171.1:4..810"
"XP_020917831","XM_021062172.1:4..720"
"XP_020917829","XM_021062170.1:<1..834"
"XP_020917828","XM_021062169.1:93..1121"
"XP_020917827","XM_021062168.1:57..>664"
"XP_020917825","XM_021062166.1:<1..511"
"XP_020917824","XM_021062165.1:7..>1077"
"XP_020917826","XM_021062167.1:84..1046"
"XP_020917823","XM_021062164.1:37..>891"
"XP_020917822","XM_021062163.1:35..2620"
"XP_020917821","XM_021062162.1:<1..555"
"XP_020917820","XM_021062161.1:99..>1577"
"XP_020917819","XM_021062160.1:1..3198"
"XP_020917818","XM_021062159.1:123..2039"
"XP_020917817","XM_021062158.1:1..1005"
